Player,Number,Class,Pos,Height,Weight,Hometown
Kyle Guy,5,JR,G,6-2,175,"Indianapolis, IN"
De'Andre Hunter,12,SO,G,6-7,225,"Philadelphia, PA"
Ty Jerome,11,JR,G,6-5,195,"New Rochelle, NY"
Mamadi Diakite,25,JR,F,6-9,228,"Conakry, Guinea"
Braxton Key,2,JR,G,6-8,225,"Charlotte, NC"
Kihei Clark,0,FR,G,5-9,155,"Woodland Hills, CA"
Jay Huff,30,SO,F,7-1,232,"Durham, NC"
Jack Salt,33,SR,C,6-10,250,"Auckland, New Zealand"
Kody Stattmann,23,FR,G,6-7,187,"Bentley Park, Australia"
Marco Anthony,24,SO,G,6-4,212,"San Antonio, TX"
Grant Kersey,1,FR,G,6-1,160,"Charlottesville, VA"
Austin Katstra,45,SO,F,6-6,217,"Charlottesville, VA"
Jayden Nixon,10,FR,G,6-3,189,"Charlottesville, VA"
Francesco Badocchi,1,FR,F,6-7,205,"Milan, Italy"